location,city,local,parameter,value,unit
FR15039,Isère,2020-12-20T14:00:00+01:00,pm25,23.2,µg/m³
FR15039,Isère,2020-12-20T14:00:00+01:00,no2,55.5,µg/m³
FR15039,Isère,2020-12-20T13:00:00+01:00,pm10,35.6,µg/m³
FR15039,Isère,2020-12-20T13:00:00+01:00,no2,56.3,µg/m³
FR15039,Isère,2020-12-20T13:00:00+01:00,pm25,19.3,µg/m³
FR15039,Isère,2020-12-20T12:00:00+01:00,pm25,19,µg/m³
FR15039,Isère,2020-12-20T12:00:00+01:00,no2,54.3,µg/m³
FR15039,Isère,2020-12-20T12:00:00+01:00,pm10,32,µg/m³
FR15039,Isère,2020-12-20T11:00:00+01:00,pm25,17.6,µg/m³
FR15039,Isère,2020-12-20T11:00:00+01:00,no2,54.1,µg/m³
FR15039,Isère,2020-12-20T11:00:00+01:00,pm10,30.6,µg/m³
FR15039,Isère,2020-12-20T10:00:00+01:00,pm10,26.5,µg/m³
FR15039,Isère,2020-12-20T10:00:00+01:00,no2,45.7,µg/m³
FR15039,Isère,2020-12-20T10:00:00+01:00,pm25,14.7,µg/m³
FR15039,Isère,2020-12-20T09:00:00+01:00,pm25,13.3,µg/m³
FR15039,Isère,2020-12-20T09:00:00+01:00,no2,46.8,µg/m³
FR15039,Isère,2020-12-20T09:00:00+01:00,pm10,25.2,µg/m³
FR15039,Isère,2020-12-20T08:00:00+01:00,no2,41.4,µg/m³
FR15039,Isère,2020-12-20T08:00:00+01:00,pm25,12.2,µg/m³
FR15039,Isère,2020-12-20T08:00:00+01:00,pm10,18,µg/m³
FR15039,Isère,2020-12-20T07:00:00+01:00,pm10,20,µg/m³
FR15039,Isère,2020-12-20T07:00:00+01:00,pm25,13,µg/m³
FR15039,Isère,2020-12-20T07:00:00+01:00,no2,27.8,µg/m³
FR15039,Isère,2020-12-20T06:00:00+01:00,no2,31.3,µg/m³
FR15039,Isère,2020-12-20T06:00:00+01:00,pm10,23.6,µg/m³
FR15039,Isère,2020-12-20T06:00:00+01:00,pm25,11.4,µg/m³
FR15039,Isère,2020-12-20T05:00:00+01:00,no2,32.4,µg/m³
FR15039,Isère,2020-12-20T05:00:00+01:00,pm10,28.6,µg/m³
FR15039,Isère,2020-12-20T05:00:00+01:00,pm25,17.9,µg/m³
FR15039,Isère,2020-12-20T04:00:00+01:00,no2,30.1,µg/m³
FR15039,Isère,2020-12-20T04:00:00+01:00,pm25,21.6,µg/m³
